Process: Login_success%3A+admin%40dhakabank.com.bd, User ID: 1, Session ID: , Time: 2022-09-06 05:41:21
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 06:14:50
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 06:27:12
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 06:27:18
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 06:27:23
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 06:27:29
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 06:27:31
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 06:27:36
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 06:27:49
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 06:28:18
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 06:29:01
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 06:30:03
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 06:30:29
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 06:37:23
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 06:43:04
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 06:44:00
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 06:45:32
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 06:46:03
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 06:58:32
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 06:59:03
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 07:00:38
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 07:00:40
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-06 07:00:42
