Process: Login_success%3A+admin%40dse.com.bd, User ID: 1, Session ID: , Time: 2022-09-26 11:54:31
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 11:54:38
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 11:54:45
Process: Login_success%3A+admin%40dse.com.bd, User ID: 1, Session ID: , Time: 2022-09-26 04:05:43
Process: Viewed_lease_list, User ID: 1, Session ID: , Time: 2022-09-26 04:06:19
Process: Edit_lease+key%3AT1E9PWY5OGFmODFmOWFiOTMxOWQ0YmMwYzMwZjQzZmZkZjA5VmtxcTFnR3RqJTM5YTI4MTQyY2RjMmEzOTVlNjQ4OWQ5ZWIyZjg3ZTNlZTVjOGRmMGQwNDdmNzJiMjE2NWEzZjhl, User ID: 1, Session ID: , Time: 2022-09-26 04:06:21
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 04:06:27
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 04:06:31
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 04:06:36
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 04:06:40
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 05:57:20
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:19:20
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:22:56
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:23:02
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:23:34
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:23:39
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:24:12
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:28:22
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:30:30
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:31:19
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:33:45
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:34:10
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:34:53
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:36:22
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:37:07
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:37:50
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:38:31
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:38:45
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:50:30
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:51:20
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:52:25
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:52:39
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:53:02
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:54:10
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:56:07
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:56:32
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:59:21
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 06:59:38
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:02:12
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:02:29
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:03:34
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:04:35
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:05:06
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:05:47
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:05:57
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:06:23
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:07:13
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:09:41
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:18:38
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:18:41
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:19:19
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:20:06
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:20:23
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:21:09
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:21:12
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:21:16
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:21:19
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:21:21
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:26:37
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:26:44
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:26:56
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:27:11
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:27:22
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:27:41
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:28:33
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-26 07:34:01
